unit_id,method_id,dataset_id,track,tier,replicate,prevalence,noise_condition,duplicate_fraction,n_cells,n_positive,n_background,n_missing_scores,ap,auroc,f1_at_k,precision_at_k,recall_at_k,balanced_accuracy_top_k,ece,nap,ap_above_chance,brier,ap_chance,runtime_seconds,peak_ram_mb,method_fidelity,partial
crc_lee_track_f_prev_0.001_rep01,expr_threshold,crc_lee,F,,1,0.001,,,2000,2,1998,0,0.00934002633311389,0.789039039039039,0.0,0.0,0.0,0.4994994994994995,0.1420026289337354,0.008348374707821713,0.008340026333113891,0.06531633643744766,0.001,0,-1,unknown,False
crc_lee_track_f_prev_0.001_rep02,expr_threshold,crc_lee,F,,1,0.001,,,2000,2,1998,0,0.010187793427230047,0.9276776776776776,0.0,0.0,0.0,0.4994994994994995,0.14716112528673417,0.009196990417647695,0.009187793427230046,0.06897211901102875,0.001,0,-1,unknown,False
crc_lee_track_f_prev_0.001_rep03,expr_threshold,crc_lee,F,,1,0.001,,,2000,2,1998,0,0.002927269532435584,0.7017017017017017,0.0,0.0,0.0,0.4994994994994995,0.14323482563983603,0.0019291987311667509,0.001927269532435584,0.06529566950968374,0.001,0,-1,unknown,False
crc_lee_track_f_prev_0.001_rep04,expr_threshold,crc_lee,F,,1,0.001,,,2000,2,1998,0,0.002302474235769883,0.547047047047047,0.0,0.0,0.0,0.4994994994994995,0.1431989613134359,0.0013037780137836665,0.0013024742357698829,0.06447508966812569,0.001,0,-1,unknown,False
crc_lee_track_f_prev_0.001_rep05,expr_threshold,crc_lee,F,,1,0.001,,,2000,2,1998,0,0.1316225165562914,0.9619619619619619,0.0,0.0,0.0,0.4994994994994995,0.14692388979097393,0.1307532698261175,0.1306225165562914,0.06670812396157355,0.001,0,-1,unknown,False
crc_lee_track_f_prev_0.005_rep01,expr_threshold,crc_lee,F,,1,0.005,,,2000,10,1990,0,0.009213984675713096,0.7083919597989949,0.0,0.0,0.0,0.49748743718592964,0.14735413283847518,0.004235160478103614,0.004213984675713096,0.0737958291174299,0.005,0,-1,unknown,False
crc_lee_track_f_prev_0.005_rep02,expr_threshold,crc_lee,F,,1,0.005,,,2000,10,1990,0,0.11548192835275724,0.8324120603015075,0.10000000000000002,0.1,0.1,0.5477386934673367,0.12708915312718375,0.11103711392236908,0.11048192835275723,0.05438696668299585,0.005,0,-1,unknown,False
crc_lee_track_f_prev_0.005_rep03,expr_threshold,crc_lee,F,,1,0.005,,,2000,10,1990,0,0.25902055282404773,0.8412814070351758,0.20000000000000004,0.2,0.2,0.5979899497487438,0.11928347837381474,0.25529703801411835,0.25402055282404773,0.04994372495462076,0.005,0,-1,unknown,False
crc_lee_track_f_prev_0.005_rep04,expr_threshold,crc_lee,F,,1,0.005,,,2000,10,1990,0,0.138795122001585,0.8730150753768844,0.10000000000000002,0.1,0.1,0.5477386934673367,0.12163837251202916,0.13446745929807538,0.133795122001585,0.048501272580775176,0.005,0,-1,unknown,False
crc_lee_track_f_prev_0.005_rep05,expr_threshold,crc_lee,F,,1,0.005,,,2000,10,1990,0,0.071148933861343,0.9150753768844222,0.10000000000000002,0.1,0.1,0.5477386934673367,0.13565622825330542,0.06648134056416381,0.06614893386134299,0.0641571755345044,0.005,0,-1,unknown,False
