method_id,ap
CaSee,0.05768254485887026
DeepScena,0.02571967146368139
FiRE,0.04375045758275894
RareQ,0.081414208432726
cellsius,0.07900991303281929
expr_threshold,0.04038065559426036
hvg_logreg,0.7277911304539679
random_baseline,0.022607859584214234
scCAD,0.11482840336465903
scMalignantFinder,0.0487617890041698
