unit_id,method_id,dataset_id,track,tier,replicate,prevalence,noise_condition,duplicate_fraction,n_cells,n_positive,n_background,n_missing_scores,is_degenerate,n_unique_scores,ap,auroc,f1_score,f1_top_k,precision_top_k,recall_top_k,balanced_accuracy_top_k,specificity_top_k,ap_chance,ap_above_chance,runtime_seconds,method_fidelity
pdac_peng_track_e_asym_neg_T4_rep01,CaSee,pdac_peng,E,T4,1,0.3005,asym_neg,,2000,601,1399,0,False,2000,0.2923510388222796,0.4820712203511184,0.2828618968386023,0.2828618968386023,0.2828618968386023,0.2828618968386023,0.4873923494200159,0.6919228020014296,0.3005,-0.0081489611777204,471.3677492141724,faithful
crc_lee_track_c_T1_rep04,CaSee,crc_lee,C,T1,4,0.0775,,,2000,155,1845,0,False,2000,0.0710105657551856,0.4792272051752775,0.032258064516129,0.032258064516129,0.032258064516129,0.032258064516129,0.4754786257539994,0.91869918699187,0.0775,-0.0064894342448143,432.98565888404846,faithful
rcc_multi_track_e_asym_neg_T4_rep04,CaSee,rcc_multi,E,T4,4,0.3005,asym_neg,,2000,601,1399,0,False,2000,0.3159364956574111,0.5004287588353459,0.3044925124792013,0.3044925124792013,0.3044925124792013,0.3044925124792013,0.5028538330802012,0.7012151536812009,0.3005,0.0154364956574111,442.0602993965149,faithful
pdac_peng_track_e_noise10_T2_rep05,CaSee,pdac_peng,E,T2,5,0.1215,noise10,,2000,243,1757,0,False,2000,0.2632982293499333,0.5630247967565365,0.2345679012345679,0.2345679012345679,0.2345679012345679,0.2345679012345679,0.5643528180048765,0.894137734775185,0.1215,0.1417982293499333,415.1295795440674,faithful
bcc_yost_track_e_noise10_T2_rep04,CaSee,bcc_yost,E,T2,4,0.1375,noise10,,2000,275,1725,0,False,2000,0.3588375792703955,0.6490729907773386,0.3563636363636364,0.3563636363636364,0.3563636363636364,0.3563636363636364,0.6268774703557313,0.8973913043478261,0.1375,0.2213375792703955,430.6777715682984,faithful
hcc_wei_track_e_asym_pos_T1_rep04,CaSee,hcc_wei,E,T1,4,0.045,asym_pos,,2000,90,1910,0,False,2000,0.5739026190623397,0.8848923792902851,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.8138452588714369,0.9832460732984292,0.045,0.5289026190623397,401.118171453476,faithful
crc_lee_track_e_asym_pos_T2_rep05,CaSee,crc_lee,E,T2,5,0.017,asym_pos,,2000,34,1966,0,False,2000,0.7117449141808699,0.993567111483454,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.8354377356232422,0.9944048830111902,0.017,0.6947449141808699,433.9126262664795,faithful
ov_izar_tirosh_track_e_noise20_T3_rep01,CaSee,ov_izar_tirosh,E,T3,1,0.2055,noise20,,2000,411,1589,0,True,1,0.2055,0.5,0.2214111922141119,0.2214111922141119,0.2214111922141119,0.2214111922141119,0.5100133368244884,0.7986154814348647,0.2055,0.0,170.96349835395813,faithful
pdac_peng_track_e_noise20_T4_rep01,CaSee,pdac_peng,E,T4,1,0.2005,noise20,,2000,401,1599,0,False,2000,0.2021621233825311,0.4915837360944106,0.1895261845386533,0.1895261845386533,0.1895261845386533,0.1895261845386533,0.493137076009164,0.7967479674796748,0.2005,0.001662123382531,465.5796217918396,faithful
ov_izar_tirosh_track_e_asym_pos_T4_rep01,CaSee,ov_izar_tirosh,E,T4,1,0.0005,asym_pos,,2000,1,1999,0,True,1,0.0005,0.5,0.0,0.0,0.0,0.0,0.4997498749374687,0.0,0.0005,0.0,174.81718564033508,faithful
