unit_id,method_id,dataset_id,track,tier,replicate,prevalence,noise_condition,duplicate_fraction,n_cells,n_positive,n_background,n_missing_scores,is_degenerate,n_unique_scores,ap,auroc,f1_score,f1_top_k,precision_top_k,recall_top_k,balanced_accuracy_top_k,specificity_top_k,ap_chance,ap_above_chance,runtime_seconds,method_fidelity
pdac_peng_track_e_asym_neg_T4_rep01,CaSee,pdac_peng,E,T4,1,0.3005,asym_neg,,2000,601,1399,0,False,2000,0.2923510388222796,0.48207122035111843,0.28286189683860236,0.28286189683860236,0.28286189683860236,0.28286189683860236,0.48739234942001597,0.6919228020014296,0.3005,-0.008148961177720404,471.36774921417236,faithful
crc_lee_track_c_T1_rep04,CaSee,crc_lee,C,T1,4,0.0775,,,2000,155,1845,0,False,2000,0.07101056575518569,0.47922720517527756,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.03225806451612903,0.47547862575399946,0.9186991869918699,0.0775,-0.00648943424481431,432.98565888404846,faithful
rcc_multi_track_e_asym_neg_T4_rep04,CaSee,rcc_multi,E,T4,4,0.3005,asym_neg,,2000,601,1399,0,False,2000,0.3159364956574111,0.5004287588353459,0.30449251247920134,0.30449251247920134,0.30449251247920134,0.30449251247920134,0.5028538330802012,0.7012151536812009,0.3005,0.01543649565741112,442.0602993965149,faithful
pdac_peng_track_e_noise10_T2_rep05,CaSee,pdac_peng,E,T2,5,0.1215,noise10,,2000,243,1757,0,False,2000,0.2632982293499333,0.5630247967565365,0.2345679012345679,0.2345679012345679,0.2345679012345679,0.2345679012345679,0.5643528180048765,0.894137734775185,0.1215,0.1417982293499333,415.1295795440674,faithful
bcc_yost_track_e_noise10_T2_rep04,CaSee,bcc_yost,E,T2,4,0.1375,noise10,,2000,275,1725,0,False,2000,0.3588375792703955,0.6490729907773386,0.3563636363636364,0.3563636363636364,0.3563636363636364,0.3563636363636364,0.6268774703557313,0.8973913043478261,0.1375,0.2213375792703955,430.67777156829834,faithful
hcc_wei_track_e_asym_pos_T1_rep04,CaSee,hcc_wei,E,T1,4,0.045,asym_pos,,2000,90,1910,0,False,2000,0.5739026190623397,0.8848923792902851,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.6444444444444445,0.8138452588714369,0.9832460732984293,0.045,0.5289026190623397,401.11817145347595,faithful
crc_lee_track_e_asym_pos_T2_rep05,CaSee,crc_lee,E,T2,5,0.017,asym_pos,,2000,34,1966,0,False,2000,0.7117449141808699,0.993567111483454,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.6764705882352942,0.8354377356232422,0.9944048830111902,0.017,0.6947449141808699,433.9126262664795,faithful
ov_izar_tirosh_track_e_noise20_T3_rep01,CaSee,ov_izar_tirosh,E,T3,1,0.2055,noise20,,2000,411,1589,0,True,1,0.2055,0.5,0.22141119221411193,0.22141119221411193,0.22141119221411193,0.22141119221411193,0.5100133368244884,0.7986154814348647,0.2055,0.0,170.96349835395813,faithful
pdac_peng_track_e_noise20_T4_rep01,CaSee,pdac_peng,E,T4,1,0.2005,noise20,,2000,401,1599,0,False,2000,0.2021621233825311,0.49158373609441064,0.18952618453865333,0.18952618453865333,0.18952618453865336,0.18952618453865336,0.49313707600916407,0.7967479674796748,0.2005,0.0016621233825310777,465.5796217918396,faithful
ov_izar_tirosh_track_e_asym_pos_T4_rep01,CaSee,ov_izar_tirosh,E,T4,1,0.0005,asym_pos,,2000,1,1999,0,True,1,0.0005,0.5,0.0,0.0,0.0,0.0,0.49974987493746875,0.0,0.0005,0.0,174.81718564033508,faithful
bcc_yost_track_c_T4_rep01,CaSee,bcc_yost,C,T4,1,0.001,,,2000,2,1998,0,False,2000,0.0017764426984141588,0.5415415415415415,0.0,0.0,0.0,0.0,0.4994994994994995,0.0,0.001,0.0007764426984141588,376.65775775909424,faithful
rcc_multi_track_e_asym_pos_T4_rep05,CaSee,rcc_multi,E,T4,5,0.0005,asym_pos,,2000,1,1999,0,False,2000,0.0012106537530266344,0.5872936468234118,0.0,0.0,0.0,0.0,0.49974987493746875,0.0,0.0005,0.0007106537530266344,433.55010986328125,faithful
hcc_wei_track_e_asym_neg_T2_rep04,CaSee,hcc_wei,E,T2,4,0.3115,asym_neg,,2000,623,1377,0,False,2000,0.3615005701790627,0.5220796599955005,0.3451043338683788,0.3451043338683788,0.3451043338683788,0.3451043338683788,0.5244040187860413,0.7037037037037037,0.3115,0.050000570179062676,419.01291942596436,faithful
bcc_yost_track_e_noise20_T2_rep04,CaSee,bcc_yost,E,T2,4,0.2275,noise20,,2000,455,1545,0,False,2000,0.3392923764949985,0.5658792986948328,0.32967032967032966,0.32967032967032966,0.32967032967032966,0.32967032967032966,0.5661296632170418,0.8025889967637541,0.2275,0.11179237649499849,430.0330801010132,faithful
rcc_multi_track_b_T3_rep01,CaSee,rcc_multi,B,T3,1,0.004,,,5000,20,4980,0,False,5000,0.018060731067178388,0.8908232931726907,0.0,0.0,0.0,0.0,0.4979919678714859,0.0,0.004,0.014060731067178388,89.05027914047241,faithful
hcc_wei_track_e_asym_pos_T1_rep02,CaSee,hcc_wei,E,T1,2,0.06,asym_pos,,2000,120,1880,0,False,2000,0.47133373981553683,0.8369281914893616,0.55,0.55,0.55,0.55,0.7606382978723405,0.9712765957446808,0.06,0.41133373981553684,416.1705424785614,faithful
