method_id,mean_ap,median_ap,std_ap,mean_auroc,mean_f1_top_k,mean_runtime_s,n_units,n_datasets,n_fallback,category,breakdown_tier
hvg_logreg,0.9087879667557552,1.0,0.2816529515062729,0.9529196785698688,0.9060888761095376,3.3403125000000005,160,8,0,supervised_ceiling,T4
CaSee,0.4412085757836396,0.5121271432187728,0.3212617698535048,0.8685397308682041,0.394472055361808,357.4815065264702,160,8,0,exploratory,T2
expr_threshold,0.3608922399593253,0.3169994598066824,0.3207776785000502,0.7372124762611753,0.33857905515629,15.28590584397316,160,8,0,naive_baseline,T1
FiRE,0.3850281542382706,0.3132580500250046,0.3052914708545191,0.8851609205124508,0.3632169054562947,118.11006643921137,160,8,0,ranked,none
cellsius,0.2703413757567361,0.2586443655935408,0.2774210481644326,0.8324689654823538,0.1719737053059511,39.75057325065136,160,8,0,ranked,none
scMalignantFinder,0.3193309126896861,0.2349435539126201,0.3061760339627296,0.8036402878775931,0.3252349407843115,7.6410300552845,160,8,0,ranked,T1
RareQ,0.2561871258645984,0.1959653071457336,0.2741642432985941,0.8176879242516751,0.1722268929748104,78.20625267773866,160,8,0,ranked,none
scCAD,0.2261452668102821,0.1303273106843962,0.2700231249301008,0.7711850976095109,0.1946048069638549,123.42622031824928,140,7,20,ranked,none
random_baseline,0.0372760408233137,0.0191495366131702,0.0829731707564939,0.5105129977767437,0.0311964661497816,11.57241041213274,160,8,0,naive_baseline,none
DeepScena,0.0291594794130282,0.0180836680261775,0.0305482901750615,0.4714003337718632,0.0262711175553851,80.62010046413967,140,7,20,ranked,none
