dataset_id,aucell_threshold,knn_threshold,n_P_HC,n_B_HC,spearman_rho,spearman_pvalue
bcc_yost,0.1,0.4,473,0,0.8181818181818182,0.003814920082550713
bcc_yost,0.1,0.5,473,0,0.8181818181818182,0.003814920082550713
bcc_yost,0.1,0.6,473,0,0.8181818181818182,0.003814920082550713
bcc_yost,0.15,0.4,473,0,0.8181818181818182,0.003814920082550713
bcc_yost,0.15,0.5,473,0,0.8181818181818182,0.003814920082550713
bcc_yost,0.15,0.6,473,0,0.8181818181818182,0.003814920082550713
bcc_yost,0.2,0.4,473,0,0.8181818181818182,0.003814920082550713
bcc_yost,0.2,0.5,473,0,0.8181818181818182,0.003814920082550713
bcc_yost,0.2,0.6,473,0,0.8181818181818182,0.003814920082550713
crc_lee,0.1,0.4,204,0,0.9393939393939393,5.4840529985136686e-05
crc_lee,0.1,0.5,204,0,0.9393939393939393,5.4840529985136686e-05
crc_lee,0.1,0.6,204,0,0.9393939393939393,5.4840529985136686e-05
crc_lee,0.15,0.4,204,0,0.9393939393939393,5.4840529985136686e-05
crc_lee,0.15,0.5,204,0,0.9393939393939393,5.4840529985136686e-05
crc_lee,0.15,0.6,204,0,0.9393939393939393,5.4840529985136686e-05
crc_lee,0.2,0.4,204,0,0.9393939393939393,5.4840529985136686e-05
crc_lee,0.2,0.5,204,0,0.9393939393939393,5.4840529985136686e-05
crc_lee,0.2,0.6,204,0,0.9393939393939393,5.4840529985136686e-05
hcc_wei,0.1,0.4,210,0,0.8787878787878788,0.0008138621117322101
hcc_wei,0.1,0.5,210,0,0.8787878787878788,0.0008138621117322101
hcc_wei,0.1,0.6,210,0,0.8787878787878788,0.0008138621117322101
hcc_wei,0.15,0.4,210,0,0.8787878787878788,0.0008138621117322101
hcc_wei,0.15,0.5,210,0,0.8787878787878788,0.0008138621117322101
hcc_wei,0.15,0.6,210,0,0.8787878787878788,0.0008138621117322101
hcc_wei,0.2,0.4,210,0,0.8787878787878788,0.0008138621117322101
hcc_wei,0.2,0.5,210,0,0.8787878787878788,0.0008138621117322101
hcc_wei,0.2,0.6,210,0,0.8787878787878788,0.0008138621117322101
luad_laughney,0.1,0.4,593,0,0.6848484848484848,0.028882797506732765
luad_laughney,0.1,0.5,593,0,0.6848484848484848,0.028882797506732765
luad_laughney,0.1,0.6,593,0,0.6848484848484848,0.028882797506732765
luad_laughney,0.15,0.4,593,0,0.6848484848484848,0.028882797506732765
luad_laughney,0.15,0.5,593,0,0.6848484848484848,0.028882797506732765
luad_laughney,0.15,0.6,593,0,0.6848484848484848,0.028882797506732765
luad_laughney,0.2,0.4,593,0,0.6848484848484848,0.028882797506732765
luad_laughney,0.2,0.5,593,0,0.6848484848484848,0.028882797506732765
luad_laughney,0.2,0.6,593,0,0.6848484848484848,0.028882797506732765
ov_izar_tirosh,0.1,0.4,40,0,,
ov_izar_tirosh,0.1,0.5,3,0,,
ov_izar_tirosh,0.1,0.6,1,0,,
ov_izar_tirosh,0.15,0.4,40,0,,
ov_izar_tirosh,0.15,0.5,3,0,,
ov_izar_tirosh,0.15,0.6,1,0,,
ov_izar_tirosh,0.2,0.4,40,0,,
ov_izar_tirosh,0.2,0.5,3,0,,
ov_izar_tirosh,0.2,0.6,1,0,,
pdac_peng,0.1,0.4,452,0,0.7575757575757575,0.011143446799694208
pdac_peng,0.1,0.5,452,0,0.7575757575757575,0.011143446799694208
pdac_peng,0.1,0.6,452,0,0.7575757575757575,0.011143446799694208
pdac_peng,0.15,0.4,452,0,0.7575757575757575,0.011143446799694208
pdac_peng,0.15,0.5,452,0,0.7575757575757575,0.011143446799694208
pdac_peng,0.15,0.6,452,0,0.7575757575757575,0.011143446799694208
pdac_peng,0.2,0.4,452,0,0.7575757575757575,0.011143446799694208
pdac_peng,0.2,0.5,452,0,0.7575757575757575,0.011143446799694208
pdac_peng,0.2,0.6,452,0,0.7575757575757575,0.011143446799694208
rcc_multi,0.1,0.4,180,0,,
rcc_multi,0.1,0.5,180,0,,
rcc_multi,0.1,0.6,180,0,,
rcc_multi,0.15,0.4,180,0,,
rcc_multi,0.15,0.5,180,0,,
rcc_multi,0.15,0.6,180,0,,
rcc_multi,0.2,0.4,180,0,,
rcc_multi,0.2,0.5,180,0,,
rcc_multi,0.2,0.6,180,0,,
